timestamp,channel,ip,rida,user_agent,country,region,ad_request_id
2026-08-26T09:01:00Z,Hikari TV,198.51.100.2,1e571197-d536-4abe-8be8-4202f2fcc3a5,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),US,NY,adreq-000001
2026-08-27T10:02:00Z,Lullaby Lane,198.51.100.3,0f68aa7e-2b91-4254-8936-d8ca38bc4f31,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),US,TX,adreq-000002
2026-08-28T11:03:00Z,Sneak Peek,198.51.100.4,95a30688-f29b-48e2-8432-7bd93f902024,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),GB,LDN,adreq-000003
2026-08-29T12:04:00Z,Movie Vault,198.51.100.5,6e3da427-7887-400e-8095-5f5de22096b6,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),US,WA,adreq-000004
2026-08-30T13:05:00Z,Hikari TV,198.51.100.6,6fe7602a-b2cf-45de-8dd4-9ece7b79c5ca,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),GB,BIR,adreq-000005
2026-08-31T14:06:00Z,Lullaby Lane,198.51.100.7,f2afbd32-4137-4d11-8fb4-19f0d020aba1,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),CA,ON,adreq-000006
2026-08-25T15:07:00Z,Sneak Peek,198.51.100.8,502d2fa4-668e-47d2-87bf-3f9362d481cc,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),US,TX,adreq-000007
2026-08-26T16:08:00Z,Movie Vault,198.51.100.9,54ceb4f0-147d-426b-83de-795accec8106,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),US,FL,adreq-000008
2026-08-27T17:09:00Z,Hikari TV,198.51.100.10,bd8b507a-8d7c-44d7-8ebd-f16f7f225886,,US,WA,adreq-000009
2026-08-28T18:10:00Z,Lullaby Lane,198.51.100.11,6842642e-e132-48f1-879d-25b96b9fde80,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),GB,MAN,adreq-000010
2026-08-29T19:11:00Z,Sneak Peek,198.51.100.12,a0e88b5d-97ef-46c6-8317-f8e09ad6c56d,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),US,NY,adreq-000011
2026-08-30T08:12:00Z,Movie Vault,198.51.100.13,30af09aa-b3a9-4b7a-80a1-413c01ce30fb,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),GB,LDN,adreq-000012
2026-08-31T09:13:00Z,Hikari TV,198.51.100.14,,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),CA,BC,adreq-000013
2026-08-25T10:14:00Z,Lullaby Lane,198.51.100.15,e02b2d76-ecd8-4295-825d-8c06a55960ec,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),US,WA,adreq-000014
2026-08-26T11:15:00Z,Sneak Peek,198.51.100.16,7bea5282-e1c9-441b-82bd-3b15b99b2d95,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),US,CA,adreq-000015
2026-08-27T12:16:00Z,Movie Vault,198.51.100.17,fd46d0c0-f151-4440-835c-9e64fe996582,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),US,NY,adreq-000016
2026-08-28T13:17:00Z,Hikari TV,198.51.100.18,6341e7a9-4259-487c-869b-54ae3504d606,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),GB,BIR,adreq-000017
2026-08-29T14:18:00Z,Lullaby Lane,198.51.100.19,d39981eb-3485-4983-8b8e-8737fafe8458,,US,FL,adreq-000018
2026-08-30T15:19:00Z,Sneak Peek,198.51.100.20,430aa5c8-27de-49a4-8c32-4b5a67f95b99,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),GB,MAN,adreq-000019
2026-08-31T16:20:00Z,Movie Vault,198.51.100.21,7d840153-43aa-4082-8c0a-bea1dc813f15,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),CA,ON,adreq-000020
2026-08-25T17:21:00Z,Hikari TV,198.51.100.22,758352d9-f9d8-4186-8283-59274f8c63d1,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),US,NY,adreq-000021
2026-08-26T18:22:00Z,Lullaby Lane,198.51.100.23,c4f9b68c-5098-4e88-8296-cc61c9e8ef43,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),US,TX,adreq-000022
2026-08-27T19:23:00Z,Sneak Peek,198.51.100.24,b58de5b7-4f1d-459b-8749-5ceaa92c6b14,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),US,FL,adreq-000023
2026-08-28T08:24:00Z,Movie Vault,198.51.100.25,594b0e97-7230-4ef7-80be-78417251d729,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),GB,LDN,adreq-000024
2026-08-29T09:25:00Z,Hikari TV,198.51.100.26,3107ad97-e15f-4d7a-8b5b-619e7a0b0880,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),US,CA,adreq-000025
2026-08-30T10:26:00Z,Lullaby Lane,198.51.100.27,,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),GB,BIR,adreq-000026
2026-08-31T11:27:00Z,Sneak Peek,198.51.100.28,46f61a7f-4788-4db5-81e4-d2bfb663494a,,CA,BC,adreq-000027
2026-08-25T12:28:00Z,Movie Vault,198.51.100.29,cf8e3a4c-4196-4fa7-8eb6-bba4c12ac123,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),US,FL,adreq-000028
2026-08-26T13:29:00Z,Hikari TV,198.51.100.30,cedf56a2-fc0c-43e4-8ee3-8bd7bb38aa9e,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),US,WA,adreq-000029
2026-08-27T14:30:00Z,Lullaby Lane,198.51.100.31,56d88fb4-1c5a-41a2-8846-e5dedcfa80db,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),US,CA,adreq-000030
2026-08-28T15:31:00Z,Sneak Peek,198.51.100.32,1fe00ea0-2688-414d-8639-61a3fa8887e5,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),GB,MAN,adreq-000031
2026-08-29T16:32:00Z,Movie Vault,198.51.100.33,a13f119d-e450-4df0-8b17-198164202e12,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),US,TX,adreq-000032
2026-08-30T17:33:00Z,Hikari TV,198.51.100.34,ff9abd37-0461-4b2f-8135-228d2e0639dc,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),GB,LDN,adreq-000033
2026-08-31T18:34:00Z,Lullaby Lane,198.51.100.35,6d64f0cb-c7b3-4ee7-84b9-392a8e1200d8,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),CA,ON,adreq-000034
2026-08-25T19:35:00Z,Sneak Peek,198.51.100.36,c03c3ea5-04d4-41e3-8d3c-c406a540678d,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),US,CA,adreq-000035
2026-08-26T08:36:00Z,Movie Vault,198.51.100.37,fd85dc4d-8bbc-4870-8950-29a503438537,,US,NY,adreq-000036
2026-08-27T09:37:00Z,Hikari TV,198.51.100.38,27069301-5d2e-4796-81c2-0659035c4f53,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),US,TX,adreq-000037
2026-08-28T10:38:00Z,Lullaby Lane,198.51.100.39,be949201-37bb-4349-827f-75560926f951,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),GB,BIR,adreq-000038
2026-08-29T11:39:00Z,Sneak Peek,198.51.100.40,,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),US,WA,adreq-000039
2026-08-30T12:40:00Z,Movie Vault,198.51.100.41,32a1a11c-809e-4ae5-8089-eb24193f6158,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),GB,MAN,adreq-000040
2026-08-31T13:41:00Z,Hikari TV,198.51.100.42,3d7e5da7-fe4e-4c25-83bd-951854802519,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),CA,BC,adreq-000041
2026-08-25T14:42:00Z,Lullaby Lane,198.51.100.43,e633b633-91e8-4594-8966-fb6d435356c0,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),US,TX,adreq-000042
2026-08-26T15:43:00Z,Sneak Peek,198.51.100.44,58feb620-64e2-4d7f-8eeb-9410d98ff46d,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),US,FL,adreq-000043
2026-08-27T16:44:00Z,Movie Vault,198.51.100.45,fddce41f-e0a3-4ea2-8d3b-c1ca9ab272bb,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),US,WA,adreq-000044
2026-08-28T17:45:00Z,Hikari TV,198.51.100.46,97048b71-8408-4c40-84a0-9b3946ec2aa5,,GB,LDN,adreq-000045
2026-08-29T18:46:00Z,Lullaby Lane,198.51.100.47,308a9f6f-e8b1-4ac4-8342-67df1d184470,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),US,NY,adreq-000046
2026-08-30T19:47:00Z,Sneak Peek,198.51.100.48,f79f9c9e-0e59-4c55-8e65-7198e8f593e4,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),GB,BIR,adreq-000047
2026-08-31T08:48:00Z,Movie Vault,198.51.100.49,f9fe565b-d4b3-447c-812b-11dc526f8d1c,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),CA,ON,adreq-000048
2026-08-25T09:49:00Z,Hikari TV,198.51.100.50,e6f40e0a-4c9f-465c-8aaa-e1adb562c1c2,Roku/DVP-9.2.0 (Roku Streaming Stick; HD; 112233445566),US,WA,adreq-000049
2026-08-26T10:50:00Z,Lullaby Lane,198.51.100.51,6af9baa5-0adc-49b8-8b71-95950c4d7260,Roku/DVP-10.5.0 (Roku Ultra; 4K; A1B2C3D4E5F6),US,CA,adreq-000050
2026-08-27T11:51:00Z,Sneak Peek,198.51.100.52,fdcf061c-4705-46fa-8d9e-4b829b00755c,Roku/DVP-9.4.0 (Roku Streaming Stick+; 4K; 1234ABCD5678),US,NY,adreq-000051
2026-08-28T12:52:00Z,Movie Vault,198.51.100.53,,Roku/DVP-11.0.0 (Roku Express; HD; FEDCBA987654),GB,MAN,adreq-000052
2026-08-29T13:53:00Z,Hikari TV,198.51.100.54,026ac311-1641-457a-8b5f-b40ddf5605cb,Roku/DVP-10.0.0 (Roku Premiere; 4K; AABBCCDDEEFF),US,FL,adreq-000053
2026-08-30T14:54:00Z,Lullaby Lane,198.51.100.55,9f9f87ff-20e4-438a-8602-4b12201e0da2,,GB,LDN,adreq-000054
